Gilbert Data
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	2
0	2
0	2
0	2
0	2
0	2
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0	3
0	3
1	2
1	2
1	2
1	2
1	2
1	2
0	4
0	4
1	3
1	3
2	2
0	5
0	5
0	5
0	5
0	5
2	3
0	6
2	4
3	3
3	4
3	4
0	8
0	8
4	4
1	8
4	5
0	10
2	8
2	8
3	7
0	11
0	12
1	11
10	35
24	12
20	14
11	12
19	11
11	18
39	28
13	0
15	5
31	15
36	2
18	3
2	30
27	13
24	16
4	18
34	0
33	11
